"","종목명","현재가","전일대비","등락률","시가총액(억)","외국인비율(%)","매출액(억)","영업이익(억)","조정영업이익(억)","영업이익증가율(%)","당기순이익(억)","주당순이익(원)","ROE(%)","PER(%)","PBR(배)"
"1","LG*003550","88,900","상향
				300","상향
				+0.34%","139,840","36.01","16,490","5,049","5,049","388.49","4,646","2,826.83","4.34","12.95","0.54"
"2","삼성물산*028260","105,800","하향
				400","하향
				-0.38%","196,355","18.27","102,386","6,405","6,405","1.00","7,519","3,592.66","7.58","9.23","0.60"
"3","SK*034730","160,500","하향
				700","하향
				-0.43%","117,483","22.69","327,026","11,304","11,304","330.08","-66","1,640.58","-0.01","-8,025.00","0.40"
"4","롯데지주*004990","27,350","하향
				100","하향
				-0.36%","28,692","7.34","34,485","785","785","360.76","643","288.22","1.73","23.95","0.28"
"5","한화*000880","30,850","상향
				50","상향
				+0.16%","23,124","18.25","144,024","13,738","13,738","542.94","11,553","3,931.92","22.44","1.82","0.27"
