"","종목명","현재가","전일비","등락률","매수호가","매도호가","거래량","거래대금","전일거래량"
"2","컬러레이 *","1,310","136","+11.58%","1,174","1,180","373,434","470","486,937"
"3","잉글우드랩 *","9,320","420","+4.72%","9,320","9,330","237,044","2,221","945,136"
"4","씨앤씨인터내셔널 *","49,150","1,350","+2.82%","47,850","48,000","4,702","229","256,708"
"5","CSA 코스믹 *","1,554","39","+2.57%","1,659","1,660","763","1","90,297"
"6","글로본 *","1,850","29","+1.59%","1,821","1,830","6,266","12","93,386"
"7","코디 *","1,408","17","+1.22%","1,391","1,405","11,483","16","886,455"
"8","현대바이오 *","30,050","250","+0.84%","29,200","29,500","122,241","3,619","1,585,652"
"9","아모레퍼시픽우","33,000","200","+0.61%","32,600","33,150","135","4","543,388"
"10","씨티케이 *","5,980","30","+0.50%","5,910","6,100","282","2","24,164"
"11","아모레G우","10,950","50","+0.46%","10,700","10,900","171","1","13,224"
"12","한국콜마","44,500","200","+0.45%","44,050","44,150","5,462","240","145,958"
"13","아이패밀리에스씨 *","23,700","100","+0.42%","23,000","23,500","1,962","46","162,838"
"14","아모레퍼시픽","103,000","300","+0.29%","102,100","102,200","12,918","1,323","296,809"
"15","바른손 *","2,405","5","+0.21%","2,385","2,390","3,841","9","241,912"
"16","현대퓨처넷","3,135","5","+0.16%","3,105","3,155","5,634","17","281,553"
"17","에스알바이오텍","4,650","0","0.00%","0","0","0","0","0"
"18","파워풀엑스","1,000","0","0.00%","850","0","0","0","2,041"
"19","나우코스","5,180","0","0.00%","0","5,400","0","0","118"
"20","씨엔티드림","3,050","0","0.00%","0","0","0","0","0"
"21","진코스텍","3,895","0","0.00%","3,400","4,475","0","0","1"
"22","에스디생명공학 *","349","0","0.00%","0","0","0","0","0"
"23","노드메이슨","5,490","0","0.00%","0","6,000","0","0","2"
"24","셀바이오휴먼텍 *","6,630","0","0.00%","6,580","6,630","2,320","15","78,308"
"25","아모레G","27,400","0","0.00%","27,050","27,300","5,142","140","341,091"
"26","아모레G3우(전환)","20,250","0","0.00%","20,250","20,400","35","0","4,387"
"27","한국화장품제조","24,300","0","0.00%","24,200","24,500","2,738","65","15,263"
"28","애경산업","22,800","0","0.00%","22,800","22,850","4,633","104","149,379"
"29","코스온 *","2,630","0","0.00%","0","0","0","0","0"
"30","한국콜마홀딩스","14,220","0","0.00%","14,220","14,230","128","1","11,047"
"31","LG생활건강","501,000","0","0.00%","501,000","502,000","4,254","2,118","80,242"
"32","LG생활건강우","209,500","0","0.00%","209,500","212,500","415","86","22,951"
"33","제닉 *","4,305","5","-0.12%","4,270","4,380","873","4","36,088"
"34","이노진 *","3,495","5","-0.14%","3,500","3,540","517","2","18,056"
"35","아우딘퓨쳐스 *","3,480","5","-0.14%","3,485","3,490","186,433","641","4,315,768"
"36","선진뷰티사이언스 *","9,020","20","-0.22%","8,900","9,040","17,510","156","335,202"
"37","잇츠한불","15,410","40","-0.26%","15,300","15,340","329","5","41,507"
"38","라파스 *","19,190","60","-0.31%","18,310","19,250","1,354","26","38,133"
"39","오가닉티코스메틱 *","185","1","-0.54%","187","188","43,410","8","2,173,032"
"40","제로투세븐 *","7,210","40","-0.55%","7,350","7,360","4,004","29","46,070"
"41","엔에프씨 *","9,150","60","-0.65%","9,260","9,300","1,594","15","22,873"
"42","스킨앤스킨 *","152","1","-0.65%","153","154","114,427","17","1,770,756"
"43","에이블씨엔씨","7,820","60","-0.76%","7,870","7,990","300","2","102,149"
"44","원익 *","3,795","30","-0.78%","3,820","3,825","2,370","9","49,560"
"45","코리아나 *","2,955","25","-0.84%","2,975","2,980","21,403","63","164,230"
"46","토니모리","5,700","50","-0.87%","5,750","5,760","22,461","127","1,036,365"
"47","클리오 *","21,250","200","-0.93%","21,450","21,700","1,006","21","74,343"
"48","코스맥스","92,400","900","-0.96%","92,700","93,000","2,500","231","94,667"
"49","본느 *","1,781","21","-1.17%","1,760","1,770","10,346","18","368,220"
"50","한국화장품","6,640","80","-1.19%","6,720","6,730","1,201","8","15,238"
"51","현대바이오랜드 *","12,150","160","-1.30%","12,170","12,210","2,224","27","25,254"
"52","메디앙스 *","3,100","45","-1.43%","3,100","3,145","431","1","10,435"
"53","브이티지엠피 *","9,040","150","-1.63%","8,860","8,930","222,389","1,995","4,553,186"
"54","내츄럴엔도텍 *","2,510","45","-1.76%","2,595","2,600","1,037","3","35,056"
"55","코스나인 *","923","17","-1.81%","940","950","78,013","72","737,394"
"56","세화피앤씨 *","1,060","20","-1.85%","1,070","1,080","28,442","30","101,810"
"57","코스메카코리아 *","20,100","400","-1.95%","20,000","20,050","61,518","1,227","1,486,063"
"58","네오팜 *","23,700","550","-2.27%","24,250","24,300","3,143","75","165,182"
"59","올리패스 *","1,637","38","-2.27%","1,674","1,675","139,846","228","1,129,780"
"60","제이준코스메틱","6,720","200","-2.89%","6,860","6,890","1,604","10","13,122"
"61","마녀공장 *","38,800","1,200","-3.00%","38,100","38,150","67,800","2,620","2,229,439"
"62","디와이디 *","1,570","91","-5.48%","1,663","1,664","649,099","1,038","10,970,770"
