"","종목명","현재가","전일비","등락률","외국인보유주","상장주식수","외국인비율","PER","ROE"
"1","삼성전자우","61,200","1,300","+2.17%","596,392",822887,72.48,"9.24","N/A"
"2","LG생활건강우","235,000","0","0.00%","1,330",2100,63.33,"19.06","N/A"
"3","LG화학우","387,500","2,000","+0.52%","4,850",7689,63.08,"18.59","N/A"
"4","현대차2우B","107,900","0","0.00%","22,551",36121,62.43,"3.28","N/A"
"5","현대차우","107,800","300","+0.28%","14,595",24113,60.53,"3.28","N/A"
"6","아모레퍼시픽우","34,250","400","+1.18%","6,006",10558,56.88,"22.67","N/A"
"7","남양유업우","288,500","4,500","+1.58%","86",167,51.56,"-3.32","N/A"
"8","LG우","67,400","1,200","+1.81%","1,365",3022,45.19,"9.82","N/A"
"9","LG전자우","55,300","100","+0.18%","6,948",17186,40.43,"22.67","N/A"
"10","아모레G우","11,780","140","+1.20%","2,559",6444,39.71,"17.74","N/A"
"12","CJ제일제당 우","151,100","1,100","+0.73%","412",1327,31.07,"6.13","N/A"
